model,song,condition,effect,level,sdr_wet,sdr_dry
demucs,Arise_-_Run_Run_Run,delay_l3,delay,3,9.396803886634938,4.294636837158302
spleeter,Arise_-_Run_Run_Run,delay_l3,delay,3,4.506458311576614,2.517683062418619
demucs,Arise_-_Run_Run_Run,delay_l4,delay,4,8.784380277792387,3.4302750318550745
spleeter,Arise_-_Run_Run_Run,delay_l4,delay,4,4.10239482364193,2.078474603817067
demucs,Arise_-_Run_Run_Run,original,original,0,11.632693219351038,11.632693219351038
spleeter,Arise_-_Run_Run_Run,original,original,0,5.73143792638735,5.73143792638735
demucs,Arise_-_Run_Run_Run,reverb_l1,reverb,1,10.576627577041325,7.725409418733391
spleeter,Arise_-_Run_Run_Run,reverb_l1,reverb,1,5.180460391082584,4.604006548950651
demucs,Arise_-_Run_Run_Run,reverb_l2,reverb,2,7.967206495188534,0.7340428783442909
spleeter,Arise_-_Run_Run_Run,reverb_l2,reverb,2,2.440986891169548,0.6249262384375545
demucs,Arise_-_Run_Run_Run,reverb_l3,reverb,3,6.855222876875402,-1.5695584269635552
spleeter,Arise_-_Run_Run_Run,reverb_l3,reverb,3,1.7583440980980667,-0.8824261633582777
demucs,Arise_-_Run_Run_Run,reverb_l4,reverb,4,6.989578217010269,-2.221792355751376
spleeter,Arise_-_Run_Run_Run,reverb_l4,reverb,4,1.6886467192539547,-1.3269903367653435
demucs,BKS_-_Too_Much,bitcrush_l1,bitcrush,1,11.713629680440063,9.117263577987327
spleeter,BKS_-_Too_Much,bitcrush_l1,bitcrush,1,9.615661418888257,8.439917338188911
demucs,BKS_-_Too_Much,bitcrush_l2,bitcrush,2,11.687748015432566,9.10441907446682
spleeter,BKS_-_Too_Much,bitcrush_l2,bitcrush,2,9.614326380902016,8.43971895492222
demucs,BKS_-_Too_Much,bitcrush_l3,bitcrush,3,11.646508552392786,9.105604324642488
spleeter,BKS_-_Too_Much,bitcrush_l3,bitcrush,3,9.596444642204954,8.439304939064105
demucs,BKS_-_Too_Much,bitcrush_l4,bitcrush,4,11.137508768614317,9.02542137304909
spleeter,BKS_-_Too_Much,bitcrush_l4,bitcrush,4,9.297231381918461,8.359285322599051
demucs,BKS_-_Too_Much,compression_l1,compression,1,11.835688966890581,11.586241788352003
spleeter,BKS_-_Too_Much,compression_l1,compression,1,9.977940096968666,9.963756790952093
demucs,BKS_-_Too_Much,compression_l2,compression,2,11.53283926696253,9.121944943896494
spleeter,BKS_-_Too_Much,compression_l2,compression,2,9.536489682790288,8.159895124644388
demucs,BKS_-_Too_Much,compression_l3,compression,3,11.432197886311005,7.383176551444811
spleeter,BKS_-_Too_Much,compression_l3,compression,3,9.340284566129348,6.726447830535101
demucs,BKS_-_Too_Much,compression_l4,compression,4,11.534660669108874,6.672687351072472
spleeter,BKS_-_Too_Much,compression_l4,compression,4,9.334369731004065,6.146152725396465
demucs,BKS_-_Too_Much,delay_l1,delay,1,11.023281820060065,7.38617220471201
spleeter,BKS_-_Too_Much,delay_l1,delay,1,9.609375203994166,6.5283484620606025
demucs,BKS_-_Too_Much,delay_l2,delay,2,10.17058688160276,5.5511182659928915
spleeter,BKS_-_Too_Much,delay_l2,delay,2,8.922100445552305,4.971266294769769
demucs,BKS_-_Too_Much,delay_l3,delay,3,9.420016646093108,4.433071658228205
spleeter,BKS_-_Too_Much,delay_l3,delay,3,8.153474658717299,4.120671803624943
demucs,BKS_-_Too_Much,delay_l4,delay,4,8.79836341607484,3.8156013846921577
spleeter,BKS_-_Too_Much,delay_l4,delay,4,7.451978945729161,3.597899739247476
demucs,BKS_-_Too_Much,original,original,0,12.017639959559073,12.017639959559073
spleeter,BKS_-_Too_Much,original,original,0,10.206994730371477,10.206994730371477
demucs,BKS_-_Too_Much,reverb_l1,reverb,1,11.294915000692642,9.33262980039012
spleeter,BKS_-_Too_Much,reverb_l1,reverb,1,9.846420202694835,7.956610884072965
demucs,BKS_-_Too_Much,reverb_l2,reverb,2,9.940258473605878,1.643776714172212
spleeter,BKS_-_Too_Much,reverb_l2,reverb,2,8.671582055839867,1.3709168257410291
demucs,BKS_-_Too_Much,reverb_l3,reverb,3,9.645727513434894,-1.6987078529538184
spleeter,BKS_-_Too_Much,reverb_l3,reverb,3,8.407946451447463,-1.7567268789430177
demucs,BKS_-_Too_Much,reverb_l4,reverb,4,9.66583465626019,-2.57936435572378
spleeter,BKS_-_Too_Much,reverb_l4,reverb,4,8.467378964738135,-2.612786977088573
demucs,BKS_-_Bulldozer,bitcrush_l1,bitcrush,1,8.587006227751196,6.715893953257302
spleeter,BKS_-_Bulldozer,bitcrush_l1,bitcrush,1,5.657722932893877,4.992050649994741
demucs,BKS_-_Bulldozer,bitcrush_l2,bitcrush,2,8.561019605676282,6.711198160051626
spleeter,BKS_-_Bulldozer,bitcrush_l2,bitcrush,2,5.660061357117076,4.994632574693675
demucs,BKS_-_Bulldozer,bitcrush_l3,bitcrush,3,8.564469795591691,6.722169704118251
spleeter,BKS_-_Bulldozer,bitcrush_l3,bitcrush,3,5.664132417450192,4.999608436338644
demucs,BKS_-_Bulldozer,bitcrush_l4,bitcrush,4,8.347300861970602,6.659279234468154
spleeter,BKS_-_Bulldozer,bitcrush_l4,bitcrush,4,5.5586178982623125,4.981843395406164
demucs,BKS_-_Bulldozer,compression_l1,compression,1,8.850524753995249,8.912291055566579
spleeter,BKS_-_Bulldozer,compression_l1,compression,1,5.760241923524351,5.883080480974698
demucs,BKS_-_Bulldozer,compression_l2,compression,2,8.639088057831877,8.112720663180221
spleeter,BKS_-_Bulldozer,compression_l2,compression,2,5.490110835014146,5.563530290511607
demucs,BKS_-_Bulldozer,compression_l3,compression,3,8.510739179301556,7.108207584764719
spleeter,BKS_-_Bulldozer,compression_l3,compression,3,5.26501220399825,5.069517549648052
