model,song,pair,component,SI_SDR,SI_SAR_like,RMSE
demucs,Little Chicago's Finest - My Own,accompaniment,vocals,14.174581492028313,14.33756788790336,0.007024683701530816
demucs,Louis Cressy Band - Good Time,accompaniment,vocals,10.169530557867843,10.568316108318419,0.011498288707209984
demucs,Lyndsey Ollard - Catching Up,accompaniment,vocals,11.75628828063333,12.036864680307142,0.01254404138473
demucs,M.E.R.C. Music - Knockout,accompaniment,vocals,10.038380929805466,10.448832588448367,0.01529515811193476
demucs,Moosmusic - Big Dummy Shake,accompaniment,vocals,10.898181175350267,11.237711885637463,0.018887426413245808
demucs,Motor Tapes - Shore,accompaniment,vocals,9.131534461471842,9.63199253060877,0.019618840138964002
demucs,Mu - Too Bright,accompaniment,vocals,10.336669173487419,10.72104567509799,0.014733897131760723
demucs,Nerve 9 - Pray For The Rain,accompaniment,vocals,8.518899724610357,9.090387140667247,0.019449940187484884
demucs,PR - Happy Daze,accompaniment,vocals,-4.514058256748781,1.3151174654273516,0.0076880438282217346
demucs,PR - Oh No,accompaniment,vocals,0.653950995721033,3.3495726546876776,0.010611363254599226
demucs,Punkdisco - Oral Hygiene,accompaniment,vocals,9.008989136507768,9.522954352957083,0.009409114996118493
demucs,Raft Monk - Tiring,accompaniment,vocals,4.835299596301864,6.068753641814425,0.027350527945387688
demucs,Sambasevam Shanmugam - Kaathaadi,accompaniment,vocals,14.671350978772832,14.817012810127267,0.011423417288323797
demucs,Secretariat - Borderline,accompaniment,vocals,8.100828443718838,8.726092203320135,0.020177188648088856
demucs,Secretariat - Over The Top,accompaniment,vocals,10.110603575796457,10.514591147737708,0.014736144726247529
demucs,Side Effects Project - Sing With Me,accompaniment,vocals,12.873014648459367,13.091544385761873,0.01423178978259364
demucs,Signe Jakobsen - What Have You Done To Me,accompaniment,vocals,11.259454328727772,11.572837381739124,0.01831172280629611
demucs,Skelpolu - Resurrection,accompaniment,vocals,-2.12141173330419,2.0778579907080665,0.020669357070456338
demucs,Speak Softly - Broken Man,accompaniment,vocals,5.990663239246742,6.965767235592976,0.01781284351536149
demucs,Speak Softly - Like Horses,accompaniment,vocals,8.385479446579033,8.973640765134261,0.026799309079324003
demucs,The Doppler Shift - Atrophy,accompaniment,vocals,8.380992894390854,8.969722731402696,0.018128852507432076
demucs,The Easton Ellises (Baumi) - SDRNR,accompaniment,vocals,6.266146883665237,7.18723571822676,0.028538815193965585
demucs,The Easton Ellises - Falcon 69,accompaniment,vocals,3.860742660003353,5.356257235846794,0.03481554781974861
demucs,The Long Wait - Dark Horses,accompaniment,vocals,9.28302593012398,9.767249165118049,0.012436677648003398
demucs,The Mountaineering Club - Mallory,accompaniment,vocals,12.572416162844924,12.806192969856944,0.008365504625091728
demucs,The Sunshine Garcia Band - For I Am The Moon,accompaniment,vocals,10.321368087176676,10.707042718432845,0.01814934134104377
demucs,Timboz - Pony,accompaniment,vocals,4.570304083549171,5.870796594842826,0.017941149370436137
demucs,Tom McKenzie - Directions,accompaniment,vocals,10.817032484749234,11.162718736584935,0.01008574510265906
demucs,Triviul feat. The Fiend - Widow,accompaniment,vocals,9.789847333715247,10.223304773716338,0.019388743538692722
demucs,We Fell From The Sky - Not You,accompaniment,vocals,6.132903159390103,7.079773761269466,0.01458536671026869
demucs,Zeno - Signs,accompaniment,vocals,8.437409094561591,9.019027298596253,0.02316521528137206
demucs,AM Contra - Heart Peripheral,bass,non_vocal,22.934723477561437,22.95676337163141,0.0033579979361642834
demucs,Al James - Schoolboy Facination,bass,non_vocal,9.300329287251145,9.78273017267567,0.01776295754466695
demucs,Angels In Amplifiers - I'm Alright,bass,non_vocal,22.08280320735684,22.10960496117415,0.003573723700364124
demucs,Arise - Run Run Run,bass,non_vocal,26.20098312374445,26.2113862947299,0.0045214690706546325
demucs,BKS - Bulldozer,bass,non_vocal,22.29465801059778,22.320187457894896,0.00412513255591323
demucs,BKS - Too Much,bass,non_vocal,24.800991186935658,24.815345000606634,0.0034957459110888755
demucs,Ben Carrigan - We'll Talk About It All Tonight,bass,non_vocal,22.597482351228177,22.621297033845657,0.0031582579235700983
demucs,Bobby Nobody - Stitch Up,bass,non_vocal,25.367924291372223,25.38052403599351,0.00272923628790618
demucs,Buitraker - Revo X,bass,non_vocal,17.34981203023296,17.429032256027,0.008062498219342053
demucs,Carlos Gonzalez - A Place For Us,bass,non_vocal,11.703636937506975,11.98752611694244,0.005888777422344022
demucs,Cristina Vane - So Easy,bass,non_vocal,19.07912506022553,19.13248325939726,0.0045069231909955045
demucs,Detsky Sad - Walkie Talkie,bass,non_vocal,19.658116422402973,19.70485052081664,0.003039137536231755
demucs,Enda Reilly - Cur An Long Ag Seol,bass,non_vocal,21.37774288194466,21.40925180968432,0.004999944020407026
demucs,Forkupines - Semantics,bass,non_vocal,22.713772220808593,22.73695936252389,0.0031330825637980704
demucs,Georgia Wonder - Siren,bass,non_vocal,22.60934458703113,22.633094488727053,0.004558022822613726
demucs,Girls Under Glass - We Feel Alright,bass,non_vocal,18.048733773388815,18.116268912866936,0.0077021445040464905
